VFID	VF category	multi_cat	vf_category0	vf_category1	vf_category2	vf_category3	vf_category0_subcat0	vf_category0_subcat1	vf_category0_subcat2	vf_category0_subcat3	vf_category0_subcat4	vf_category1_subcat0	vf_category1_subcat1	vf_category1_subcat2	vf_category1_subcat3	vf_category2_subcat0	vf_category2_subcat1	vf_category2_subcat2	vf_category3_subcat0	vf_category3_subcat1
VF0535	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; alpha-Hemolysin family	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT; alpha-Hemolysin family				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT	 alpha-Hemolysin family									
VF0536	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0537	Adherence; Non-fimbrial adhesin; Autotransporter adhesin	false	Adherence; Non-fimbrial adhesin; Autotransporter adhesin				Adherence	 Non-fimbrial adhesin	 Autotransporter adhesin											
VF0538	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili	false	Adherence; Fimbrial adhesin; Gram positive sortase anchoring pili				Adherence	 Fimbrial adhesin	 Gram positive sortase anchoring pili											
VF0539	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0540	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0541	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)	false	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)				Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT)											
VF0542	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0543	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0544	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0545	Others	false	Others				Others													
VF0546	Others	false	Others				Others													
VF0547	Stress survival	false	Stress survival				Stress survival													
VF0548	Others	false	Others				Others													
VF0549	Nutritional/Metabolic factor; Metal uptake; Magnesium uptake	false	Nutritional/Metabolic factor; Metal uptake; Magnesium uptake				Nutritional/Metabolic factor	 Metal uptake	 Magnesium uptake											
VF0550	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Ferrous iron binding 	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Ferrous iron binding 				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Ferrous iron binding 										
VF0551	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0552	Nutritional/Metabolic factor; Metabolic adaptation; Metabolite	false	Nutritional/Metabolic factor; Metabolic adaptation; Metabolite				Nutritional/Metabolic factor	 Metabolic adaptation	 Metabolite											
VF0553	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake	false	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake				Nutritional/Metabolic factor	 Metabolic adaptation	 Amino acid uptake											
VF0554	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake	false	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake				Nutritional/Metabolic factor	 Metabolic adaptation	 Amino acid uptake											
VF0555	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake	false	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake				Nutritional/Metabolic factor	 Metabolic adaptation	 Amino acid uptake											
VF0556	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake	false	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake				Nutritional/Metabolic factor	 Metabolic adaptation	 Amino acid uptake											
VF0557	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake	false	Nutritional/Metabolic factor; Metabolic adaptation; Amino acid uptake				Nutritional/Metabolic factor	 Metabolic adaptation	 Amino acid uptake											
VF0558	Nutritional/Metabolic factor; Metabolic adaptation; Metabolite	false	Nutritional/Metabolic factor; Metabolic adaptation; Metabolite				Nutritional/Metabolic factor	 Metabolic adaptation	 Metabolite											
VF0559	Nutritional/Metabolic factor; Metabolic adaptation; Metabolite	false	Nutritional/Metabolic factor; Metabolic adaptation; Metabolite				Nutritional/Metabolic factor	 Metabolic adaptation	 Metabolite											
VF0560	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
VF0561	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0562	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0563	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0564	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0565	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0566	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0567	Biofilm; Biofilm formation	false	Biofilm; Biofilm formation				Biofilm	 Biofilm formation												
VF0568	Antimicrobial activity/Competitive advantage	false	Antimicrobial activity/Competitive advantage				Antimicrobial activity/Competitive advantage													
VF0569	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0570	Regulation	false	Regulation				Regulation													
VF0571	Regulation	false	Regulation				Regulation													
VF0572	Nutritional/Metabolic factor	false	Nutritional/Metabolic factor				Nutritional/Metabolic factor													
VF0573	Exotoxin; Intracellularly active toxin; DNase/Genotoxin	false	Exotoxin; Intracellularly active toxin; DNase/Genotoxin				Exotoxin	 Intracellularly active toxin	 DNase/Genotoxin											
VF0574	Invasion | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)	true	Invasion 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)			Invasion 					 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Inverse autotransporter (type Ve)						
VF0575	Invasion | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)	true	Invasion 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)			Invasion 					 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Inverse autotransporter (type Ve)						
VF0576	Invasion | Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)	true	Invasion 	 Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve)			Invasion 					 Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Inverse autotransporter (type Ve)						
VF0577	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0578	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0579	Effector delivery system; Type VI secretion system (T6SS); T6SS components	false	Effector delivery system; Type VI secretion system (T6SS); T6SS components				Effector delivery system	 Type VI secretion system (T6SS)	 T6SS components											
VF0580	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0581	Effector delivery system; Type VII secretion system (T7SS); T7SSb components	false	Effector delivery system; Type VII secretion system (T7SS); T7SSb components				Effector delivery system	 Type VII secretion system (T7SS)	 T7SSb components											
VF0582	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Two-partner secretion (type Vb)	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Two-partner secretion (type Vb)				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Two-partner secretion (type Vb)											
VF0583	Exotoxin; Intracellularly active toxin; Ionophore	false	Exotoxin; Intracellularly active toxin; Ionophore				Exotoxin	 Intracellularly active toxin	 Ionophore											
VF0584	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system; Siderophore biosynthesis	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system; Siderophore biosynthesis				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system	 Siderophore biosynthesis									
VF0585	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram+ heme acquisition system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram+ heme acquisition system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram+ heme acquisition system									
VF0586	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system; Siderophore biosynthesis	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system; Siderophore biosynthesis				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system	 Siderophore biosynthesis									
VF0587	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram+ heme acquisition system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram+ heme acquisition system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram+ heme acquisition system									
VF0588	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)	false	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT)				Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT)											
VF0589	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0590	Exoenzyme; Protease	false	Exoenzyme; Protease				Exoenzyme	 Protease												
VF0591	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0592	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0593	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0594	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0595	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0596	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0597	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT); Beta-PFT				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)	 Beta-PFT										
VF0598	Adherence; Non-fimbrial adhesin; Cell wall anchored protein | Biofilm; Biofilm formation	true	Adherence; Non-fimbrial adhesin; Cell wall anchored protein 	 Biofilm; Biofilm formation			Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein 			 Biofilm	 Biofilm formation							
VF0599	Adherence; Non-fimbrial adhesin; Cell wall anchored protein | Biofilm; Biofilm formation	true	Adherence; Non-fimbrial adhesin; Cell wall anchored protein 	 Biofilm; Biofilm formation			Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein 			 Biofilm	 Biofilm formation							
VF0600	Exoenzyme	false	Exoenzyme				Exoenzyme													
VF0601	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0602	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0603	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
